Category,Sentence (Mongolian)
Grammar Core (Sentence Structures & Tenses),Би ном уншдаг.
Grammar Core (Sentence Structures & Tenses),Тэр гүйж байна.
Grammar Core (Sentence Structures & Tenses),Маргааш бид уулзана.
Grammar Core (Sentence Structures & Tenses),"Хэрвээ бороо орвол, би гэртээ байна."
Grammar Core (Sentence Structures & Tenses),Энэ ном уншигдсан.
Grammar Core (Sentence Structures & Tenses),Би тэрийг хараагүй.
Grammar Core (Sentence Structures & Tenses),Чи сургуульдаа явах уу?
Grammar Core (Sentence Structures & Tenses),Намайг таньдаг хүн цөөхөн.
Grammar Core (Sentence Structures & Tenses),Биднийг ирэхэд тэр явсан байсан.
Grammar Core (Sentence Structures & Tenses),Би шинэ машин худалдаж авмаар байна.
Conversational Data (Real-Life Dialogues & Exchanges),Сайн уу? Өнөөдөр яаж байна?
Conversational Data (Real-Life Dialogues & Exchanges),Өчигдөр хичээл сонирхолтой байсан уу?
Conversational Data (Real-Life Dialogues & Exchanges),Би кофе захиалмаар байна.
Conversational Data (Real-Life Dialogues & Exchanges),Чи юу хийж байна?
Conversational Data (Real-Life Dialogues & Exchanges),Өнөө шөнө кино үзэх үү?
Conversational Data (Real-Life Dialogues & Exchanges),"Би завгүй байна, дараа холбогдъё."
Conversational Data (Real-Life Dialogues & Exchanges),Томилолтоор хотоос гарах гэж байна.
Conversational Data (Real-Life Dialogues & Exchanges),Энэ хоол ямар амттай юм бэ!
Conversational Data (Real-Life Dialogues & Exchanges),Шинэ ажил чинь ямар байна?
Conversational Data (Real-Life Dialogues & Exchanges),Чи надад туслаач!
Code-Switching & Multilingualism,Би English сайн ойлгодог.
Code-Switching & Multilingualism,Тэр франц хэлээр чөлөөтэй ярьдаг.
Code-Switching & Multilingualism,"За, let’s go shopping!"
Code-Switching & Multilingualism,Чи хэдэн languages мэддэг вэ?
Code-Switching & Multilingualism,I love Монголын байгаль!
Code-Switching & Multilingualism,Танай company ямар үйл ажиллагаа явуулдаг вэ?
Code-Switching & Multilingualism,Би TEDx Ulaanbaatar дээр илтгэл тавьсан.
Code-Switching & Multilingualism,Энэ ямар ч logic байхгүй байна!
Code-Switching & Multilingualism,Тэр Google-д ажилладаг.
Code-Switching & Multilingualism,Би presentation-ээ бэлдэж байна.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Энэхүү гэрээг талууд харилцан зөвшөөрлөө.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Пациентын биеийн байдал тогтвортой байна.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Та захиалгаа баталгаажуулах уу?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Манай компани санхүүгийн үйлчилгээг санал болгодог.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Эмнэлгийн шинжилгээний үр дүн ирсэн үү?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Бид олон улсын хамтын ажиллагааг дэмждэг.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Захирлын тушаал гараагүй байна.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Нотариат баталгаажуулсан баримт бичиг хэрэгтэй.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Энэ үйл явцын зөвшөөрөл хаанаас авах вэ?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Та хүсэлтээ имэйлээр илгээсэн үү?
"Idioms, Proverbs & Cultural Expressions",Ус уух нь амьдралын эхлэл.
"Idioms, Proverbs & Cultural Expressions",Олны өмнө бүү ич.
"Idioms, Proverbs & Cultural Expressions",Барьсан бөхөө битгий тавь.
"Idioms, Proverbs & Cultural Expressions",Гал дээр тос нэмэх хэрэггүй.
"Idioms, Proverbs & Cultural Expressions",Хоёр туулай хөөсөн хүн хоосон хоцорно.
"Idioms, Proverbs & Cultural Expressions",Зөв цагтаа зөв газар нь бай.
"Idioms, Proverbs & Cultural Expressions",Сайн үйлс бүхэн шагналтай.
"Idioms, Proverbs & Cultural Expressions","Итгэл эвдэхэд амархан, засахад хэцүү."
"Idioms, Proverbs & Cultural Expressions",Чи түүнийг зүгээр л нэг удаа уучил.
"Idioms, Proverbs & Cultural Expressions",Өөрийн бодлыг хэтрүүлж битгий яриа.
Question-Answer Pairs (FAQ & Contextual Understanding),Монгол улсын нийслэл хаана вэ?
Question-Answer Pairs (FAQ & Contextual Understanding),Энэ зочид буудалд байрлах үнэ хэд вэ?
Question-Answer Pairs (FAQ & Contextual Understanding),Би яаж ажилд орох вэ?
Question-Answer Pairs (FAQ & Contextual Understanding),Чи юунд хамгийн их дуртай вэ?
Question-Answer Pairs (FAQ & Contextual Understanding),"Таны бодлоор, уур амьсгал хэрхэн өөрчлөгдөж байна?"
Question-Answer Pairs (FAQ & Contextual Understanding),Монголд хамгийн их иддэг хоол юу вэ?
Question-Answer Pairs (FAQ & Contextual Understanding),Яагаад энэ бүтээгдэхүүн онцгой гэж?
Question-Answer Pairs (FAQ & Contextual Understanding),Би энэ карттай гадаадад төлбөр хийж болох уу?
Question-Answer Pairs (FAQ & Contextual Understanding),Ямар спорт хамгийн их үзэгчтэй вэ?
Question-Answer Pairs (FAQ & Contextual Understanding),Хүүхдүүдэд ямар ном санал болгох вэ?
Commands & Instructions (Imperative Sentences),Цонхоо хаа!
Commands & Instructions (Imperative Sentences),Гар утсаа битгий мартаарай.
Commands & Instructions (Imperative Sentences),Биелэгдээгүй хүсэлтээ дахин шалга.
Commands & Instructions (Imperative Sentences),Дараагийн автобус хэзээ ирэх вэ?
Commands & Instructions (Imperative Sentences),Өнөө орой хоолоо хий.
Commands & Instructions (Imperative Sentences),Хурдхан яваарай.
Commands & Instructions (Imperative Sentences),Байрны түлхүүрээ аваарай.
Commands & Instructions (Imperative Sentences),Бага зэрэг чимээгүй байгаарай.
Commands & Instructions (Imperative Sentences),Өглөө эрт бос.
Commands & Instructions (Imperative Sentences),Энд хог хаяхыг хориглоно.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Чингис хаан 1162 онд төрсөн.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Улаанбаатар хот 1778 онд байгуулагдсан.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Монгол Улс 1921 онд тусгаар тогтнолоо зарласан.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Тэр Google компанид ажилладаг.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Миний нэр Бат, би Монголд төрсөн."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Тэр Дэлхийн Банкны судлаач.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Шилдэг их сургуулиудын нэг МУИС юм.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Наадмын баяр 7-р сарын 11-нд болно.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Монголын хамгийн өндөр уул бол Хүйтэн оргил.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Тэр Монголын ерөнхийлөгч байсан.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Энэ кино үнэхээр гайхалтай байлаа!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Би шинэ машиндаа дуртай!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Өнөөдөр миний сэтгэл санаа тааруу байна.
