Category,Hungarian Sentence
Grammar Core (Sentence Structures & Tenses),Ma este főzök vacsorát.
Grammar Core (Sentence Structures & Tenses),Tegnap elmentünk a múzeumba.
Grammar Core (Sentence Structures & Tenses),Holnap vizsgázni fogok matematikából.
Grammar Core (Sentence Structures & Tenses),"Ha esne az eső, otthon maradnék."
Grammar Core (Sentence Structures & Tenses),Nem szereti a hideg időt.
Grammar Core (Sentence Structures & Tenses),Az ajtót be lett csukva.
Grammar Core (Sentence Structures & Tenses),"Ő tanul, miközben én dolgozom."
Grammar Core (Sentence Structures & Tenses),"Szerettem volna elmenni, de késő volt."
Grammar Core (Sentence Structures & Tenses),Mi mindig időben érkezünk.
Grammar Core (Sentence Structures & Tenses),Képes vagy megoldani a feladatot.
Conversational Data (Real-Life Dialogues & Exchanges),"– Hogy vagy? – Köszi, jól, és te?"
Conversational Data (Real-Life Dialogues & Exchanges),– Mit csinálsz ma este? – Talán moziba megyek.
Conversational Data (Real-Life Dialogues & Exchanges),"– Szükséged van segítségre? – Igen, kérlek!"
Conversational Data (Real-Life Dialogues & Exchanges),"– Szeretnél egy kávét? – Igen, köszönöm!"
Conversational Data (Real-Life Dialogues & Exchanges),– Hol találkozunk? – A könyvtár előtt jó lesz?
Conversational Data (Real-Life Dialogues & Exchanges),– Elfelejtetted a kulcsot? – Sajnos igen.
Conversational Data (Real-Life Dialogues & Exchanges),– Milyen filmet nézzünk? – Valami vígjátékot.
Conversational Data (Real-Life Dialogues & Exchanges),"– Hova mész? – A boltba, veszek kenyeret."
Conversational Data (Real-Life Dialogues & Exchanges),"– Sokat dolgozol mostanában? – Igen, rengeteget."
Conversational Data (Real-Life Dialogues & Exchanges),– Jó reggelt! – Neked is szép napot!
Code-Switching & Multilingualism,A meeting után elugrom a boltba.
Code-Switching & Multilingualism,Szombaton lesz egy BBQ party nálunk.
Code-Switching & Multilingualism,Holnap lesz a language exchange session.
Code-Switching & Multilingualism,Megnéztük a Netflixen a Stranger Things-et.
Code-Switching & Multilingualism,A hétvégén roadtripre megyünk Balatonra.
Code-Switching & Multilingualism,Neki az email már automatikusan spambe kerül.
Code-Switching & Multilingualism,Szerintem multitasking közben nem lehet figyelni rendesen.
Code-Switching & Multilingualism,Ez a gadget nagyon cool!
Code-Switching & Multilingualism,A brainstorming után mindenki fáradt volt.
Code-Switching & Multilingualism,Egy új coworking office nyílt a belvárosban.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Kérem, írja alá a szerződés második oldalát."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Az ügyfél kérésére a határidőt meghosszabbítottuk.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",A laboreredmények a jövő héten lesznek elérhetők.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Kérjük, tartsa be az adatvédelmi irányelveket."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",A prezentáció során hangsúlyozni kell a költségvetést.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Az alperes nem jelent meg a tárgyaláson.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",A projekt kivitelezése a tervek szerint halad.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",A páciens allergiás a penicillinre.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",A frissített dokumentáció csatolva található.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",A rendszeres auditok kulcsfontosságúak a minőségbiztosításban.
"Idioms, Proverbs & Cultural Expressions",Sok lúd disznót győz.
"Idioms, Proverbs & Cultural Expressions",Kutyából nem lesz szalonna.
"Idioms, Proverbs & Cultural Expressions",Eltette láb alól.
"Idioms, Proverbs & Cultural Expressions",Kéz kezet mos.
"Idioms, Proverbs & Cultural Expressions",Leesett az álla.
"Idioms, Proverbs & Cultural Expressions",Nagy fába vágta a fejszéjét.
"Idioms, Proverbs & Cultural Expressions","Nem minden arany, ami fénylik."
"Idioms, Proverbs & Cultural Expressions",Két legyet üt egy csapásra.
"Idioms, Proverbs & Cultural Expressions",Szegény embert az ág is húzza.
"Idioms, Proverbs & Cultural Expressions","Jobb ma egy veréb, mint holnap egy túzok."
Question-Answer Pairs (FAQ & Contextual Understanding),Mikor indul a következő busz? – Tíz perc múlva.
Question-Answer Pairs (FAQ & Contextual Understanding),Hogyan készíthetek pizzát otthon? – Íme egy egyszerű recept.
Question-Answer Pairs (FAQ & Contextual Understanding),Miért fontos a testmozgás? – Mert javítja az egészséget.
Question-Answer Pairs (FAQ & Contextual Understanding),Hány éves a legrégebbi fa a parkban? – Több mint kétszáz éves.
Question-Answer Pairs (FAQ & Contextual Understanding),Milyen nyelveket beszélsz? – Angolt és magyart.
Question-Answer Pairs (FAQ & Contextual Understanding),"Hol található a legközelebbi gyógyszertár? – A sarkon túl, balra."
Question-Answer Pairs (FAQ & Contextual Understanding),"Mit jelent az, hogy 'szolidaritás'? – Együttérzés és támogatás."
Question-Answer Pairs (FAQ & Contextual Understanding),"Lehet-e kártyával fizetni? – Igen, természetesen."
Question-Answer Pairs (FAQ & Contextual Understanding),Kik írták az Alaptörvényt? – A parlamenti képviselők.
Question-Answer Pairs (FAQ & Contextual Understanding),Miért van szükség szabályokra? – Hogy rend legyen.
Commands & Instructions (Imperative Sentences),Kapcsold le a villanyt!
Commands & Instructions (Imperative Sentences),"Kérlek, várj egy pillanatot!"
Commands & Instructions (Imperative Sentences),Ne menj oda!
Commands & Instructions (Imperative Sentences),Nyisd ki az ablakot!
Commands & Instructions (Imperative Sentences),Figyelj a részletekre!
Commands & Instructions (Imperative Sentences),Írd le a neved!
Commands & Instructions (Imperative Sentences),Mondj igazat!
Commands & Instructions (Imperative Sentences),Kérdezz bátran!
Commands & Instructions (Imperative Sentences),Maradj csendben!
Commands & Instructions (Imperative Sentences),Segíts neki a táskával!
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Orbán Viktor 2010 óta Magyarország miniszterelnöke.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",A MÁV új menetrendet vezet be áprilisban.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Budapest Európa egyik legszebb fővárosa.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",A Microsoft új irodát nyitott a Váci úton.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Petőfi Sándor 1823-ban született.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",A Szépművészeti Múzeum ideiglenesen zárva tart.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Az ELTE-n tartják a jövő heti konferenciát.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Július 20-án indul a Sziget Fesztivál.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ferenc pápa látogatása történelmi esemény volt.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",A MOL bejelentette az új fejlesztést.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Imádom ezt a könyvet, letehetetlen!"
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nagyon csalódtam a filmben.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ez a nap fantasztikusan telt!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Utálom a hétfő reggeleket.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ez a sütemény isteni finom!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nem érzek semmit ez iránt a téma iránt.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Elképesztően boldog vagyok!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Kifejezetten idegesít ez a zaj.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nagyon elégedett vagyok a szolgáltatással.
