Category,Sentence (Fijian)
Grammar Core (Sentence Structures & Tenses),Au lako yani ki Suva ena yakavi.
Grammar Core (Sentence Structures & Tenses),Ena na lako o Mere ki na koronivuli ni mataka.
Grammar Core (Sentence Structures & Tenses),Au a sega ni raica na tivi ena moniti.
Grammar Core (Sentence Structures & Tenses),E tukuna o koya ni na vukei iko ke o vinakata.
Grammar Core (Sentence Structures & Tenses),Era sa laki wilika oti na ivola kece.
Grammar Core (Sentence Structures & Tenses),Na ivola e wili oti ka sa qai biu ena teveli.
Grammar Core (Sentence Structures & Tenses),"Kevaka au na rawata, au na volia e dua na sitoa."
Grammar Core (Sentence Structures & Tenses),E sega ni dua na tamata e kila na ka e yaco.
Grammar Core (Sentence Structures & Tenses),Na vale e tara tiko ena gauna oqo.
Grammar Core (Sentence Structures & Tenses),"Ke a sega ni tau na uca, ke da a lako yani."
Conversational Data (Real-Life Dialogues & Exchanges),O cei na yacamu?—O yau o Jone.
Conversational Data (Real-Life Dialogues & Exchanges),E vica na kena isau?—E rua na dola.
Conversational Data (Real-Life Dialogues & Exchanges),O sa mai cakaevei?—Au mai volia na kakana.
Conversational Data (Real-Life Dialogues & Exchanges),"O rawa ni vukei au?—Io, cava o vinakata?"
Conversational Data (Real-Life Dialogues & Exchanges),"E bau rogo vinaka na iotioti ni sere?—Io, e matasere dina!"
Conversational Data (Real-Life Dialogues & Exchanges),"O tiko vinaka?—Io, vinaka vakalevu."
Conversational Data (Real-Life Dialogues & Exchanges),O qai lako mai ena gauna cava?—Au yaco ena walu.
Conversational Data (Real-Life Dialogues & Exchanges),"Sa toso tiko na gauna!—Io, sa voleka na rua."
Conversational Data (Real-Life Dialogues & Exchanges),"Au sa lako mada.—Vinaka, moce mada."
Conversational Data (Real-Life Dialogues & Exchanges),"Tiko e dua na nomu iloloma?—Io, rau sa biu oti tu."
Code-Switching & Multilingualism,Au sa via kana pizza ena bogi qo.
