Category,Sentence (Sanskrit)
Grammar Core,रामः पठति।
Grammar Core,गावः गच्छन्ति।
Grammar Core,बालकः खादति।
Grammar Core,सः पुस्तकं पठति।
Grammar Core,अहं पाठशालां गच्छामि।
Grammar Core,सर्वे छात्राः अध्ययनं कुर्वन्ति।
Grammar Core,सः गृहे अस्ति।
Grammar Core,गुरुः शिष्याय पाठं ददाति।
Grammar Core,पक्षिणः आकाशे उड्डयन्ति।
Grammar Core,ते किं वदन्ति?
Conversational Data,भवान् कुत्र गच्छति?
Conversational Data,मम नाम सुरेशः।
Conversational Data,अद्य किं भोजनं करोति?
Conversational Data,किं त्वं क्रीडाय इच्छसि?
Conversational Data,शुभप्रभातं! कथमस्ति?
Conversational Data,सर्वे कुशलिनः किम्?
Conversational Data,अहं पाठशालायां पठामि।
Conversational Data,सः चिकित्सालयं गतः।
Conversational Data,ते किं चिन्तयन्ति?
Conversational Data,अत्र आगच्छ।
Code-Switching & Multilingualism,तस्य मित्रं library गच्छति।
Code-Switching & Multilingualism,रामः mobile उपयुज्यति।
Code-Switching & Multilingualism,मम पिता doctor अस्ति।
Code-Switching & Multilingualism,सा computer पठति।
Code-Switching & Multilingualism,एषः song उत्तमः अस्ति।
Code-Switching & Multilingualism,अहं TV पश्यामि।
Code-Switching & Multilingualism,भवान् email प्रेषयति किम्?
Code-Switching & Multilingualism,सः market गच्छति।
Code-Switching & Multilingualism,तस्य teacher शिक्षायाम् उत्तमः।
Code-Switching & Multilingualism,ते WhatsApp उपयोगयन्ति।
Formal & Professional Speech,सर्वे नियमाः पालनं करणीयम्।
Formal & Professional Speech,अस्माकं कार्यालये समयः मूल्यवान् अस्ति।
Formal & Professional Speech,वैद्यः रोगिणः परीक्षणं करोति।
Formal & Professional Speech,सर्वे अनुशासनं धारयन्ति।
Formal & Professional Speech,विधायः शासनं कुर्वन्ति।
Formal & Professional Speech,न्यायालयः न्यायं करोति।
Formal & Professional Speech,चिकित्सालये चिकित्सकः सेवां ददाति।
Formal & Professional Speech,सर्वे अधिकारीः कर्तव्यं कुर्वन्ति।
Formal & Professional Speech,अध्यापकः शिक्षायाम् तिष्ठति।
Formal & Professional Speech,परिषद् नीतिं योजयति।
"Idioms, Proverbs & Cultural Expressions",अग्निशिखा इव क्रुद्धः।
"Idioms, Proverbs & Cultural Expressions",स्वयमेव मृगः न गच्छति।
"Idioms, Proverbs & Cultural Expressions",यथा राजा तथा प्रजा।
"Idioms, Proverbs & Cultural Expressions",गङ्गायां घृतं विसृज्यते।
"Idioms, Proverbs & Cultural Expressions",अल्पस्य हेतोः महान् क्षयः।
"Idioms, Proverbs & Cultural Expressions",विद्या धनं सर्वेभ्यः श्रेष्ठम्।
"Idioms, Proverbs & Cultural Expressions",सर्पः एव वा पादपीडनम्।
"Idioms, Proverbs & Cultural Expressions",गृहे लक्ष्मीः पूजनीयः।
