Category,Sentences
Code-Switching & Multilingualism,"ᐃᖃᓗᐃᑦ weather is cold today.,"
Code-Switching & Multilingualism,"ᐊᓘ, are you ready ᐊᓂᔭᖅ?"","
Code-Switching & Multilingualism,"ᐊᓘ, good night ᓄᓇᕗᒻᒥ.,"
Code-Switching & Multilingualism,"ᐊᓘ, let’s meet ᓄᓇᕗᒻᒥ."
Code-Switching & Multilingualism,"ᐊᓘ, my friend ᓯᓚ.,"
Code-Switching & Multilingualism,"ᐊᓘ, see you later ᓂᖅᑲᓇ.,"
Code-Switching & Multilingualism,"ᐊᓘ, ᑕᒪᐃᑦ tomorrow morning.,"
Code-Switching & Multilingualism,"ᑕᑯᒃᓴᖅ is frozen outside.,"
Code-Switching & Multilingualism,"ᑕᒪᐃᑦ, let’s go ᐊᓯᓐᓂᕐᒥᒃ.,"
Code-Switching & Multilingualism,"ᓂᕆᔭᐅᔪᖅ, I’m okay now.,"
Commands & Instructions (Imperative Sentences),"ᐅᓇᑦᑎᕐᓂᖅ!,"
Commands & Instructions (Imperative Sentences),"ᐅᕕᖅᑎ!,"
Commands & Instructions (Imperative Sentences),"ᐅᖃᐅᓯᖅᑎ!,"
Commands & Instructions (Imperative Sentences),"ᐅᖃᓕᒫᕆᐊᖅᑎ!,"
Commands & Instructions (Imperative Sentences),"ᐊᐅᓚᑦᑎᔨ ᐊᖏᕐᕋᖅᑎ!,"
Commands & Instructions (Imperative Sentences),"ᐊᓂᔭᖅ ᐊᖏᕐᕋᖅᑎ!,"
Commands & Instructions (Imperative Sentences),"ᐊᓪᓚᖅᑎ!,"
Commands & Instructions (Imperative Sentences),ᐊᓯᓂᖅᑎ ᐊᖏᕐᕋᖅᑎ!
Commands & Instructions (Imperative Sentences),"ᐊᓯᓂᖅᑎ!"","
Commands & Instructions (Imperative Sentences),"ᐊᖏᕐᕋᖅᑎ!,"
Conversational Data (Real-Life Dialogues & Exchanges),"ᐊᓘ, ᐅᓇ ᐃᖃᓗᐃᑦ ᑕᑯᒃᓴᖅ?,"
Conversational Data (Real-Life Dialogues & Exchanges),"ᐊᓘ, ᐅᖃᓕᒫᕆᐊᖅᑐᖅ.,"
Conversational Data (Real-Life Dialogues & Exchanges),"ᐊᓘ, ᐊᐅᓚᑦᑎᔨ ᐅᖃᓕᒫᕆᐊᖅᑐᖅ.,"
Conversational Data (Real-Life Dialogues & Exchanges),"ᐊᓘ, ᐊᖏᕐᕋᖅ ᐊᓄᕐᓗ.,"
Conversational Data (Real-Life Dialogues & Exchanges),"ᐊᓘ, ᑕᒪᐃᑦ ᓇᓗᓇᐃᑦ.,"
Conversational Data (Real-Life Dialogues & Exchanges),"ᐊᓘ, ᑕᒪᐃᑦ?"","
Conversational Data (Real-Life Dialogues & Exchanges),"ᐊᓘ, ᓂᕆᔭᐅᔪᖅ.,"
Conversational Data (Real-Life Dialogues & Exchanges),"ᐊᓘ, ᓇᓗᓇᐃᑦ ᐊᓄᕐᓗ."
Conversational Data (Real-Life Dialogues & Exchanges),"ᐊᓘ, ᓯᓚ ᑕᒪᐃᑦ.,"
Conversational Data (Real-Life Dialogues & Exchanges),"ᓇᓗᓇᐃᑦ ᑕᒪᐃᑦ.,"
"Formal & Professional Speech (Business, Legal, Medical, Technical)","ᐃᓱᒪᒋᔭᖅᐳᖅ ᐊᖏᕐᕋᖅ.,"
"Formal & Professional Speech (Business, Legal, Medical, Technical)","ᐅᖃᓕᒫᕆᐊᖅᑕᐅᓂᖅ ᓄᓇᕗᒻᒥ.,"
"Formal & Professional Speech (Business, Legal, Medical, Technical)","ᐊᐅᓚᑦᑎᔨ ᓄᓇᕗᒻᒥ ᐊᓂᓕᖅᐹᖅ.,"
"Formal & Professional Speech (Business, Legal, Medical, Technical)","ᐊᓂᓕᖅᐹᖅ ᐊᐅᓚᑦᑎᔨ ᐊᖏᕐᕋᖅ.,"
"Formal & Professional Speech (Business, Legal, Medical, Technical)","ᐊᓂᓕᖅᐹᖅ ᐊᖏᕐᕋᖅ ᑲᑕᔾᔨ.,"
"Formal & Professional Speech (Business, Legal, Medical, Technical)","ᐊᓂᓕᖅᐹᖅ ᓄᓇᕗᒻᒥ ᐃᓄᒃᑎᑐᑦ."","
"Formal & Professional Speech (Business, Legal, Medical, Technical)","ᐊᓂᔭᖅ ᐃᓱᒪᒋᔭᖅ ᐊᖏᕐᕋᖅ.,"
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ᐊᓂᔭᖅ ᐊᐅᓚᑦᑎᔨ ᓄᓇᓕᓐᓂᖅ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","ᓄᓇᓕᓐᓂᖅ ᐊᓂᔭᖅ ᐊᐃᓐᓇᖅᑐᖅ.,"
"Formal & Professional Speech (Business, Legal, Medical, Technical)","ᓄᓇᕗᒻᒥ ᐊᓂᓕᖅᐹᖅ ᐃᓱᒪᒋᔭᖅ.,"
Grammar Core (Sentence Structures & Tenses),"ᐃᓄᒃᑎᑐᑦ ᖃᐅᔨᒪᔭᖅᐳᖅ.,"
Grammar Core (Sentence Structures & Tenses),"ᐅᖃᓕᒫᕆᐊᖅᑐᖅ ᑲᓇ.,"
Grammar Core (Sentence Structures & Tenses),"ᐊᐅᓚᑦᑎᔨᖅᐳᖅ ᐃᓱᒪᒋᔭᖅ.,"
Grammar Core (Sentence Structures & Tenses),"ᐊᐅᓚᑦᑎᔨᖅᑕᐅᓂᖅ ᐊᐃᓐᓇᖅᑐᖅ.,"
Grammar Core (Sentence Structures & Tenses),ᐊᑦᑕᖅᑕᐅᓂᖅ ᐅᖃᓕᒫᕆᐊᖅᑐᖅ.
Grammar Core (Sentence Structures & Tenses),"ᐊᓂᔭᖅ ᐃᖃᓗᐃᑦ.,"
Grammar Core (Sentence Structures & Tenses),"ᐊᓯᒪᓂᖅ ᑕᑯᒃᓴᖅ.,"
Grammar Core (Sentence Structures & Tenses),"ᐊᓯᓐᓂᕐᒥᒃ ᐊᓪᓚᖅᐳᖅ.,"
Grammar Core (Sentence Structures & Tenses),"ᓄᓇᕗᒻᒥ ᐊᐃᓐᓇᖅᑐᖅ.,"
Grammar Core (Sentence Structures & Tenses),"ᓇᓗᓇᐃᑦ ᑲᑕᔾᔨᖅ.,"
"Idioms, Proverbs & Cultural Expressions","ᐃᓄᒃᑎᑐᑦ ᐊᐃᓐᓇᖅᑐᖅ.,"
"Idioms, Proverbs & Cultural Expressions","ᐊᓘ, ᐃᓱᒪᒋᔭᖅ ᐊᖏᕐᕋᖅ.,"
"Idioms, Proverbs & Cultural Expressions","ᐊᓘ, ᐊᐅᓚᑦᑎᔨ ᐃᓱᒪᒋᔭᖅ.,"
"Idioms, Proverbs & Cultural Expressions","ᐊᓘ, ᐊᐅᓚᑦᑎᔨ ᐊᖏᕐᕋᖅ.,"
"Idioms, Proverbs & Cultural Expressions","ᐊᓘ, ᐊᓂᔭᖅ ᐃᓱᒪᒋᔭᖅ.,"
"Idioms, Proverbs & Cultural Expressions","ᐊᓘ, ᐊᓯᓐᓂᕐᒥᒃ ᐃᓱᒪᒋᔭᖅ.,"
"Idioms, Proverbs & Cultural Expressions","ᐊᖏᕐᕋᖅ ᐱᓕᕆᓂᖅ."","
"Idioms, Proverbs & Cultural Expressions",ᓄᓇᕗᒻᒥ ᐊᓘ ᐊᐅᓚᑦᑎᔨ.
"Idioms, Proverbs & Cultural Expressions","ᓄᓇᕗᒻᒥ ᐊᓘ ᑕᑯᒃᓴᖅ.,"
"Idioms, Proverbs & Cultural Expressions","ᓄᓇᕗᒻᒥ ᑕᑯᒃᓴᖅ ᐊᐃᓐᓇᖅᑐᖅ.,"
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","ᐃᖃᓗᐃᑦ ᓄᓇᕗᒻᒥ ᐊᓂᔭᖅ."","
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","ᐅᖃᓕᒫᕆᐊᖅᑐᖅ ᐃᖃᓗᐃᑦ.,"
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","ᐅᖃᓕᒫᕆᐊᖅᑐᖅ ᐊᓘ ᐃᖃᓗᐃᑦ.,"
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","ᐊᓂᔭᖅ ᑭᓇᐅᔭᖅ ᓄᓇᕗᒻᒥ.,"
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","ᐊᓘ, ᐊᓂᔭᖅ ᐊᖏᕐᕋᖅ ᓄᓇᕗᒻᒥ."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","ᐊᓘ, ᐊᖏᕐᕋᖅ ᓄᓇᕗᒻᒥ.,"
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","ᐊᓘ, ᑎᑎᕋᐅᑉ ᑕᑯᒃᓴᖅ.,"
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","ᐊᓘ, ᓄᓇᕗᒻᒥ ᐊᐅᓚᑦᑎᔨ.,"
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","ᐊᓘ, ᓄᓇᕗᒻᒥ ᐊᓂᔭᖅ ᐊᖏᕐᕋᖅ.,"
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","ᓇᓗᓇᐃᑦ ᐊᓘ ᓄᓇᕗᒻᒥ.,"
Paraphrased & Augmented Sentences,ᐃᖃᓗᐃᑦ ᐊᓂᔭᖅ ᐊᖏᕐᕋᖅ.
Paraphrased & Augmented Sentences,ᐊᓂᔭᖅ ᐃᓄᒃᑎᑐᑦ ᓇᓗᓇᐃᑦ.
Paraphrased & Augmented Sentences,ᐊᓂᔭᖅ ᐃᖃᓗᐃᑦ ᑕᑯᒃᓴᖅ.
Paraphrased & Augmented Sentences,ᐊᓂᔭᖅ ᐃᖃᓗᐃᑦ ᓂᕆᔭᐅᔪᖅ.
Paraphrased & Augmented Sentences,ᓄᓇᕗᒻᒥ ᐊᐅᓚᑦᑎᔨ ᐊᖏᕐᕋᖅ ᐅᖃᓕᒫᕆᐊᖅᑐᖅ.
Paraphrased & Augmented Sentences,ᐊᓂᔭᖅ ᐊᐃᓐᓇᖅᑐᖅ ᐃᖃᓗᐃᑦ.
Paraphrased & Augmented Sentences,ᐊᓂᔭᖅ ᐊᐅᓚᑦᑎᔨ ᓄᓇᕗᒻᒥ.
Paraphrased & Augmented Sentences,ᐊᓂᔭᖅ ᐊᐅᓪᓚᖅᐳᖅ ᐃᖃᓗᐃᑦ.
Paraphrased & Augmented Sentences,ᐊᓂᔭᖅ ᐊᖏᕐᕋᖅ ᐊᓄᕐᓗ.
Paraphrased & Augmented Sentences,ᐊᓂᔭᖅ ᓇᓗᓇᐃᑦ ᐊᖏᕐᕋᖅ.
Question-Answer Pairs (FAQ & Contextual Understanding),"ᐅᓇ ᐃᖃᓗᐃᑦ ᑕᑯᒃᓴᖅ?,"
Question-Answer Pairs (FAQ & Contextual Understanding),"ᐅᓇ ᐊᐅᓚᑦᑎᔨ ᐊᓯᓐᓂᕐᒥᒃ?,"
Question-Answer Pairs (FAQ & Contextual Understanding),"ᐅᓇ ᐊᓂᔭᖅ ᐊᐅᓚᑦᑎᔨ?,"
Question-Answer Pairs (FAQ & Contextual Understanding),"ᐅᓇ ᐊᓯᓐᓂᕐᒥᒃ ᐃᓱᒪᒋᔭᖅ?,"
Question-Answer Pairs (FAQ & Contextual Understanding),"ᐅᓇ ᓄᓇᕗᒻᒥ ᐊᖏᕐᕋᖅ?,"
Question-Answer Pairs (FAQ & Contextual Understanding),"ᐊᓘ, ᐃᓱᒪᒋᔭᖅ ᐊᓯᓐᓂᕐᒥᒃ.,"
Question-Answer Pairs (FAQ & Contextual Understanding),"ᐊᓘ, ᐃᖃᓗᐃᑦ ᑕᑯᒃᓴᖅ.,"
Question-Answer Pairs (FAQ & Contextual Understanding),"ᐊᓘ, ᐊᐅᓚᑦᑎᔨ ᐊᓂᔭᖅ.,"
Question-Answer Pairs (FAQ & Contextual Understanding),"ᐊᓘ, ᐊᓯᓐᓂᕐᒥᒃ ᐊᐅᓚᑦᑎᔨ."
Question-Answer Pairs (FAQ & Contextual Understanding),"ᐊᓘ, ᓄᓇᕗᒻᒥ ᐊᖏᕐᕋᖅ.,"
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"ᐅᖃᓕᒫᕆᐊᖅᑐᖅ ᐊᑦᑕᖅᑕᐅᓂᖅ.,"
