Category,Sentence
Grammar Core,Il va à l'école tous les jours.
Grammar Core,"Hier, nous avons mangé du tô."
Grammar Core,"Si j'avais de l'argent, j'achèterais une moto."
Grammar Core,Le marché sera ouvert demain.
Grammar Core,L'eau est bue par les élèves.
Grammar Core,Ne parle pas trop fort.
Grammar Core,Elle chantait quand il est entré.
Grammar Core,Nous étions en train de cuisiner.
Grammar Core,Il aurait aimé voyager.
Grammar Core,"Si tu travailles bien, tu réussiras."
Conversational Data,"Salut, comment tu vas ?"
Conversational Data,Ça fait longtemps ! Quoi de neuf ?
Conversational Data,J'aimerais commander du poisson braisé.
Conversational Data,Où est la gare routière ?
Conversational Data,"Merci beaucoup, c’est très gentil."
Conversational Data,"Je suis désolé, je suis en retard."
Conversational Data,Tu peux m'aider avec mes devoirs ?
Conversational Data,Ça coûte combien ?
Conversational Data,"J'ai faim, on va manger ?"
Conversational Data,"À demain, prends soin de toi !"
Code-Switching & Multilingualism,"On va au marché après le boulot, non ?"
Code-Switching & Multilingualism,Je vais buy du pain en passant.
Code-Switching & Multilingualism,"Maman, le taxi est là, let's go !"
Code-Switching & Multilingualism,Ça va chill ce soir ?
Code-Switching & Multilingualism,"Trop cher, je préfère buy chez l'autre vendeur."
Code-Switching & Multilingualism,Le meeting est où déjà ?
Code-Switching & Multilingualism,"Il faut que je recharge mon crédit, sinon c'est dead."
Code-Switching & Multilingualism,Il a borrow de l'argent encore ?
Code-Switching & Multilingualism,Moi je mixe anglais et français tout le temps.
Code-Switching & Multilingualism,Son téléphone est broke depuis hier.
Formal & Professional Speech,"Madame, veuillez signer ce document."
Formal & Professional Speech,Le patient doit prendre ce médicament après chaque repas.
Formal & Professional Speech,Nous devons analyser le rapport financier avant la réunion.
Formal & Professional Speech,Ce contrat stipule les droits et obligations des parties.
Formal & Professional Speech,La cérémonie d'ouverture commencera à 10h précises.
Formal & Professional Speech,Le respect des délais est essentiel pour ce projet.
Formal & Professional Speech,Nous vous remercions pour votre collaboration.
Formal & Professional Speech,L'assemblée générale se tiendra en salle de conférence.
Formal & Professional Speech,La présentation doit être concise et pertinente.
Formal & Professional Speech,Veuillez me transmettre les documents nécessaires.
"Idioms, Proverbs & Cultural Expressions",Un seul doigt ne peut pas ramasser la farine.
"Idioms, Proverbs & Cultural Expressions","Quand l’éléphant trébuche, les fourmis en profitent."
