Category,Sentence_SiSwati
Grammar Core (Sentence Structures & Tenses),Ngiyahamba manje.
Grammar Core (Sentence Structures & Tenses),Ngahamba izolo.
Grammar Core (Sentence Structures & Tenses),Ngizohamba kusasa.
Grammar Core (Sentence Structures & Tenses),Ngabe ngihambile?
Grammar Core (Sentence Structures & Tenses),Angihambi.
Grammar Core (Sentence Structures & Tenses),Kufanele ngihambe manje.
Grammar Core (Sentence Structures & Tenses),Bengihamba ngesikhathi esithile.
Grammar Core (Sentence Structures & Tenses),Ngiyahamba nsuku zonke.
Grammar Core (Sentence Structures & Tenses),Uzohamba nini?
Grammar Core (Sentence Structures & Tenses),Bekumele ngihambe.
Conversational Data (Real-Life Dialogues & Exchanges),Sawubona! Unjani?
Conversational Data (Real-Life Dialogues & Exchanges),"Ngikhona, ngiyabonga!"
Conversational Data (Real-Life Dialogues & Exchanges),Uphi manje?
Conversational Data (Real-Life Dialogues & Exchanges),Ngisendlini yami.
Conversational Data (Real-Life Dialogues & Exchanges),Ngicela ungitshele iqiniso.
Conversational Data (Real-Life Dialogues & Exchanges),Ubona kanjani lokhu?
Conversational Data (Real-Life Dialogues & Exchanges),Ngicela ukudla okumnandi.
Conversational Data (Real-Life Dialogues & Exchanges),Asihambe ndawonye.
Conversational Data (Real-Life Dialogues & Exchanges),Ngabe uyakwazi ukungisiza?
Conversational Data (Real-Life Dialogues & Exchanges),Sizobonana maduzane!
Code-Switching & Multilingualism,Ngifuna ukuya e-shop.
Code-Switching & Multilingualism,Ngisacela your assistance.
Code-Switching & Multilingualism,Ngicela i-receipt.
Code-Switching & Multilingualism,Lokhu kuyahambelana ne-culture yethu.
Code-Switching & Multilingualism,Ngabe i-phone yakho iyasebenza?
Code-Switching & Multilingualism,Ngibuyile from school.
Code-Switching & Multilingualism,Ngiyakwazi ukuthenga onlayini?
Code-Switching & Multilingualism,Uthanda umculo noma i-sport?
Code-Switching & Multilingualism,Siyahlangana e-mall.
Code-Switching & Multilingualism,Uhlala kuphi e-town?
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Ngiyaxolisa, kufanele siphumelele lo mhlangano."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Sicela ukugcwalisa leli fomu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Uyacelwa ukuba ufake isicelo sakho esigcwele.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Umthetho uyakugcizelela lokhu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ukulawula izinsiza kubalulekile enkampanini yethu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Udokotela uzobona isiguli emini.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Umthetho uvimbela lokhu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Uyacelwa ukuthi usayine lapha.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Imigomo yebhizinisi ihlelekile.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ukuphepha kwabasebenzi kubalulekile.
"Idioms, Proverbs & Cultural Expressions",Umfula ugcwala ngezifudlana.
"Idioms, Proverbs & Cultural Expressions",Indlovu ayisindwa ngumboko wayo.
"Idioms, Proverbs & Cultural Expressions",Inhlanhla kayiphindwa kabili.
"Idioms, Proverbs & Cultural Expressions",Akukho qili lazikhotha emhlane.
"Idioms, Proverbs & Cultural Expressions",Inja ingakufundisa uthando.
"Idioms, Proverbs & Cultural Expressions",Kusekhaya lapho inhliziyo ikhona.
"Idioms, Proverbs & Cultural Expressions",Uhlanga luyamila endaweni elungile.
"Idioms, Proverbs & Cultural Expressions",Isandla esiphakamisayo asifumani lutho.
"Idioms, Proverbs & Cultural Expressions",Amadoda awakhali.
"Idioms, Proverbs & Cultural Expressions",Umsebenzi uyazikhulumela.
Question-Answer Pairs (FAQ & Contextual Understanding),Ungubani igama lakho? - Ngibizwa ngoThabo.
Question-Answer Pairs (FAQ & Contextual Understanding),Uhlala kuphi? - Ngihlala eMbabane.
Question-Answer Pairs (FAQ & Contextual Understanding),Usuka kuphi? - Ngisuka eManzini.
Question-Answer Pairs (FAQ & Contextual Understanding),Kuyini lokhu? - Lokhu yincwadi.
Question-Answer Pairs (FAQ & Contextual Understanding),Kungani ungenazo izicathulo? - Ngilahlekelwe yizo.
