Category,Sentence (Elgeyo)
Grammar Core,Nda wee nyunot?
Grammar Core,Anyei kemisyee.
Grammar Core,Kiba kotyek anan?
Grammar Core,Tewok chang’?
Grammar Core,Aruu ko nang’ung’?
Grammar Core,Komu tukulune?
Grammar Core,Kibo kwendi?
Grammar Core,Ngoreri kong’o?
Grammar Core,Akimi tugul?
Grammar Core,Inye bo keyai?
Conversational Data,Keroi si got?
Conversational Data,Ngechi ng’oti?
Conversational Data,Mureet ne kasit?
Conversational Data,Keyai inye?
Conversational Data,Katiang’ olweny?
Conversational Data,Komucheti bo inye?
Conversational Data,Ng’ot tugul?
Conversational Data,Achame tugul?
Conversational Data,Irii ba?
Conversational Data,Kiroi chito?
Code-Switching & Multilingualism,Na si ko strong?
Code-Switching & Multilingualism,Gaa bet?
Code-Switching & Multilingualism,Ano change tugul.
Code-Switching & Multilingualism,Gaa somo correct?
Code-Switching & Multilingualism,Nung’ inye?
Code-Switching & Multilingualism,Tobene si idea tugul.
Code-Switching & Multilingualism,Komucheti update?
Code-Switching & Multilingualism,Gaa input?
Code-Switching & Multilingualism,Kisomi process?
Code-Switching & Multilingualism,Kimo priority?
Formal & Professional Speech,Komi tarit?
Formal & Professional Speech,Katamit nondu?
Formal & Professional Speech,Irii program tugul.
Formal & Professional Speech,Mkamuk cheb kemisye.
Formal & Professional Speech,Keyai manager?
Formal & Professional Speech,Komucheti process?
Formal & Professional Speech,Komucheti contract?
Formal & Professional Speech,Kisomi proposal?
Formal & Professional Speech,Ngechi product?
Formal & Professional Speech,Business ne tugul?
"Idioms, Proverbs & Cultural Expressions",Lal en ko kimaget.
"Idioms, Proverbs & Cultural Expressions",Muriat wa bar.
"Idioms, Proverbs & Cultural Expressions",Ngechi ilale.
"Idioms, Proverbs & Cultural Expressions",Ng’omwa ndiko.
"Idioms, Proverbs & Cultural Expressions",Itore tugul.
"Idioms, Proverbs & Cultural Expressions",Kechi kimaget.
"Idioms, Proverbs & Cultural Expressions",Mbarei chito.
"Idioms, Proverbs & Cultural Expressions",Ko ko mainet.
"Idioms, Proverbs & Cultural Expressions",Mur bet.
"Idioms, Proverbs & Cultural Expressions",Komucheti lala.
Question-Answer Pairs,Aki ba?
Question-Answer Pairs,Komucheti process?
Question-Answer Pairs,Kisomi document?
Question-Answer Pairs,Tobene answer?
Question-Answer Pairs,Keyai priority?
Question-Answer Pairs,Komucheti program?
Question-Answer Pairs,Business keyai?
Question-Answer Pairs,Ngechi business?
Question-Answer Pairs,Katiang’ document?
Question-Answer Pairs,Mbarei somo?
Commands & Instructions,Komucheti proceed.
Commands & Instructions,Ngechi update.
Commands & Instructions,Katamit complete.
Commands & Instructions,Kisomi confirm.
Commands & Instructions,Komucheti submit.
Commands & Instructions,Tobene review.
Commands & Instructions,Mbarei execute.
Commands & Instructions,Irii correct?
Commands & Instructions,Komucheti check.
Commands & Instructions,Tobene optimize.
Named Entity Recognition,Kimunet arap Chelagat.
Named Entity Recognition,Ngechi Kapseret?
Named Entity Recognition,Tewok Eldoret.
Named Entity Recognition,Kimagel doctor.
Named Entity Recognition,Mbarei school?
Named Entity Recognition,Mureet professor.
Named Entity Recognition,Ngechi agreement?
Named Entity Recognition,Tobene hospital.
Named Entity Recognition,Komucheti finance?
Named Entity Recognition,Katiang’ lawyer?
Sentiment Analysis,Kita mo tarit.
Sentiment Analysis,Komi bet.
Sentiment Analysis,Mbarei somo.
Sentiment Analysis,Ngechi ikobo.
Sentiment Analysis,Kimaget tugul.
Sentiment Analysis,Komucheti tarit.
Sentiment Analysis,Ko omoi.
Sentiment Analysis,Katiang’ cha.
Sentiment Analysis,Ngechi business?
Sentiment Analysis,Mbarei complete.
Paraphrased & Augmented Sentences,Tobene proposal.
Paraphrased & Augmented Sentences,Kisomi request.
Paraphrased & Augmented Sentences,Katamit approve.
Paraphrased & Augmented Sentences,Komucheti correct.
Paraphrased & Augmented Sentences,Katiang’ check.
Paraphrased & Augmented Sentences,Komucheti sign.
Paraphrased & Augmented Sentences,Tobene finalize.
Paraphrased & Augmented Sentences,Komucheti review.
Paraphrased & Augmented Sentences,Katamit execute.
Paraphrased & Augmented Sentences,Ngechi summary?
