Category,Sentence (Asturian)
Grammar Core (Sentence Structures & Tenses),El neñu corre pel parque.
Grammar Core (Sentence Structures & Tenses),Dibuxamos un cuadru bien grande.
Grammar Core (Sentence Structures & Tenses),Tendríes de faelo antes de salir.
Grammar Core (Sentence Structures & Tenses),Ella nun quiso dir a la fiesta.
Grammar Core (Sentence Structures & Tenses),Había vivíu equí dende mozu.
Grammar Core (Sentence Structures & Tenses),El llume encendióse de repente.
Grammar Core (Sentence Structures & Tenses),Tarán llegando n’ora y media.
Grammar Core (Sentence Structures & Tenses),"Si tuviera dineru, viajaría más."
Grammar Core (Sentence Structures & Tenses),Nun se sabe qué pasará dempués.
Grammar Core (Sentence Structures & Tenses),Sería meyor si nun lo dijeres.
Conversational Data (Real-Life Dialogues & Exchanges),"- ¿Qué tal? - Bien, ¿y tú?"
Conversational Data (Real-Life Dialogues & Exchanges),"- Hola, ¿puedes ayudarme? - Claro, ¿qué necesites?"
Conversational Data (Real-Life Dialogues & Exchanges),"- ¿Tomamos un café? - Sí, vamos."
Conversational Data (Real-Life Dialogues & Exchanges),"- ¿Tienes horariu llibre esta selmana? - Sí, el xueves."
Conversational Data (Real-Life Dialogues & Exchanges),- ¿Cómo se diz esto n’asturianu? - Dízse ‘escribilo’.
Conversational Data (Real-Life Dialogues & Exchanges),- ¿Qué tal la nueche? - Durmí mui mal.
Conversational Data (Real-Life Dialogues & Exchanges),"- ¿Tienes sed? - Un poco, sí."
Conversational Data (Real-Life Dialogues & Exchanges),"- ¿Vamos al cine? - Vale, ¿qué película?"
Conversational Data (Real-Life Dialogues & Exchanges),- ¿Dónde vives? - En Xixón.
Conversational Data (Real-Life Dialogues & Exchanges),- ¿Cuándo foi la última vegada que viaxasti? - Hai dos meses.
Code-Switching & Multilingualism,Voy al trabayu y dempués paso pel super.
Code-Switching & Multilingualism,Tengo que facer homework antes de salir.
Code-Switching & Multilingualism,"Puedo dir a la tienda, but I need money."
Code-Switching & Multilingualism,"Esta película ye increíble, you should watch it."
Code-Switching & Multilingualism,El software nun ta funcionando well.
Code-Switching & Multilingualism,"La meyor opción ye esperar un poco, pero who knows."
Code-Switching & Multilingualism,Tienes un meeting mañana.
Code-Switching & Multilingualism,Esta app funciona bien en mi phone.
Code-Switching & Multilingualism,"La meyor idea sería preguntar, just in case."
Code-Switching & Multilingualism,Pásame’l código que nun me carga la web.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Solicitámos-yos que revisen el documentu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",La medicina debe ser tomada tres veces al día.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",El presidente anunció una nueva iniciativa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ye importante lleer los términos y condiciones.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","A continuación, vamos presentar los resultaos."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",La so empresa ta especializada en loxística.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Los datos confirmen la tendencia esperada.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Esti procedimientu debe cumplise con precisión.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Los trámites tienen de completase primero.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Gracies por la so collaboración.
"Idioms, Proverbs & Cultural Expressions",Nun todo ye oru lo que lluce.
"Idioms, Proverbs & Cultural Expressions","A grandes males, grandes remedios."
"Idioms, Proverbs & Cultural Expressions",Dizse que la paciencia ye la madre de la ciencia.
"Idioms, Proverbs & Cultural Expressions","Al que madruga, Dios ayuda."
"Idioms, Proverbs & Cultural Expressions",Nun se puede tapar el sol con un dedo.
"Idioms, Proverbs & Cultural Expressions",Cada mochu al so palu.
"Idioms, Proverbs & Cultural Expressions",Poco a poco va la cosa.
"Idioms, Proverbs & Cultural Expressions",La fame ye mala conseyera.
"Idioms, Proverbs & Cultural Expressions","A perro flaco, too son pulgues."
"Idioms, Proverbs & Cultural Expressions",Ye meyor prevenir que curar.
Question-Answer Pairs (FAQ & Contextual Understanding),¿Cuántos años tienes? - Tengo venti.
Question-Answer Pairs (FAQ & Contextual Understanding),¿Cómo se va al centru? - Cola llinia 1 del bus.
Question-Answer Pairs (FAQ & Contextual Understanding),¿Cuál ye’l to trabayu? - Soy enfermeru.
Question-Answer Pairs (FAQ & Contextual Understanding),¿Qué día ye güei? - Ye martes.
