Category,Georgian_Sentence
Grammar Core,მე ვსწავლობ ქართულს ყოველ დღე.
Grammar Core,ის წავიდა გუშინ სკოლაში.
Grammar Core,ჩვენ ვნახავთ ფილმს შაბათს.
Grammar Core,"მინდოდა, რომ ეს წიგნი წამეკითხა."
Grammar Core,ეს მანქანა დამზადებულია გერმანიაში.
Grammar Core,თქვენ არ უნდა მოიტყუოთ.
Grammar Core,მათ უნდა ენახათ ეს ადგილი.
Grammar Core,"თუ დრო მექნება, გნახავ."
Grammar Core,საჩუქარი მას დედამ გადასცა.
Grammar Core,ის იყო ძალიან გაკვირვებული.
Conversational Data,"გამარჯობა, როგორ ხარ?"
Conversational Data,"კარგად, შენ როგორ ხარ?"
Conversational Data,გინდა ყავა ან ჩაი?
Conversational Data,რა ფილმი ნახე გუშინ?
Conversational Data,"შენი აზრით, რომელი წიგნი უნდა წავიკითხო?"
Conversational Data,შემიძლია დაგეხმარო?
Conversational Data,დღეს საღამოს სად უნდა შევხვდეთ?
Conversational Data,ეს ახალი რესტორანი გიცდია?
Conversational Data,სამუშაო როგორ მიდის?
Conversational Data,"მადლობა, კარგად! შეხვედრამდე!"
Code-Switching & Multilingualism,დღეს Zoom-ით ვმუშაობდი.
Code-Switching & Multilingualism,ეს არის ჩემი best friend.
Code-Switching & Multilingualism,"გთხოვ, send me the document."
Code-Switching & Multilingualism,Netflix-ზე ახალი სერია ვნახე.
Code-Switching & Multilingualism,კომპიუტერი crash-და და ყველაფერი დაიკარგა.
Code-Switching & Multilingualism,Google-ით მოვძებნე და ვიპოვე.
Code-Switching & Multilingualism,"არ ვიცი, login-ის პრობლემა მაქვს."
Code-Switching & Multilingualism,თქვენი feedback მჭირდება.
Code-Switching & Multilingualism,Apple-ის ახალი მოდელი ძალიან კარგია.
Code-Switching & Multilingualism,"აი, ეს არის real-time communication."
Formal & Professional Speech,"მოხარული ვარ, რომ შეხვედრაზე ხართ."
Formal & Professional Speech,"გთხოვთ, გაგზავნეთ თქვენი განაცხადი."
Formal & Professional Speech,ამ დოკუმენტს სჭირდება ხელმოწერა.
Formal & Professional Speech,ჩვენ ველოდებით თქვენს პასუხს.
Formal & Professional Speech,"გთხოვთ, მოგვაწოდოთ დამატებითი ინფორმაცია."
Formal & Professional Speech,შეკვეთის დეტალები გამოგიგზავნეთ ელ.ფოსტით.
Formal & Professional Speech,ეს საკითხი საჭიროებს გადაუდებელ ყურადღებას.
Formal & Professional Speech,"მიმაჩნია, რომ ეს არის მნიშვნელოვანი გადაწყვეტილება."
Formal & Professional Speech,ჩვენი გუნდი მზად არის თანამშრომლობისთვის.
Formal & Professional Speech,"გთხოვთ, დაგვიკავშირდეთ დამატებითი კითხვების შემთხვევაში."
"Idioms, Proverbs & Cultural Expressions",ყურმილზე ბუზი არ ზის.
"Idioms, Proverbs & Cultural Expressions","ყავა უყვარს, მაგრამ შაქარი არა."
"Idioms, Proverbs & Cultural Expressions",არასოდეს თქვა არასოდეს.
"Idioms, Proverbs & Cultural Expressions","ძაღლი რომ ლომს ემუქრება, იცის, რომ შორსაა."
"Idioms, Proverbs & Cultural Expressions",წყალი არ გაუვა ამ საქმეს.
"Idioms, Proverbs & Cultural Expressions",თვალი ვერ გაუსწორა სინამდვილეს.
"Idioms, Proverbs & Cultural Expressions",ხე თავისი ნაყოფით იცნობა.
"Idioms, Proverbs & Cultural Expressions","ლაპარაკი უფრო ადვილია, ვიდრე გაკეთება."
"Idioms, Proverbs & Cultural Expressions","ხელები რომ არ გაქვს, ნამუსი უნდა გქონდეს."
"Idioms, Proverbs & Cultural Expressions",მზე ყველასთვის ერთნაირად ანათებს.
Question-Answer Pairs,რომელია საქართველოს დედაქალაქი? - თბილისი.
Question-Answer Pairs,რამდენი დრო გჭირდება ამ პროექტისთვის? - დაახლოებით ერთი თვე.
Question-Answer Pairs,შენ სად დაიბადე? - თბილისში.
Question-Answer Pairs,რას აკეთებ ამჟამად? - წიგნს ვკითხულობ.
Question-Answer Pairs,შენი საყვარელი ფერი რა არის? - ლურჯი.
Question-Answer Pairs,რომელი ფილმი მოგწონს ყველაზე მეტად? - ინსეპშენი.
Question-Answer Pairs,როგორ დავუკავშირდე კლიენტს? - ელ.ფოსტით ან სატელეფონო ზარით.
Question-Answer Pairs,რამდენი წლის ხარ? - 25.
Question-Answer Pairs,როგორ შეგიძლია ამ პრობლემის გადაჭრა? - ალტერნატიული მიდგომით.
Question-Answer Pairs,რა არის შენი ოცნება? - მოვინახულო პარიზი.
Commands & Instructions,"გთხოვ, კარი დახურე."
Commands & Instructions,ეს ანგარიში მომაწოდე.
Commands & Instructions,"გთხოვ, წყალი მოიტანე."
Commands & Instructions,შეხვედრა დროულად დაიწყე.
Commands & Instructions,პროგრამის კოდი გადახედე.
