Category,Tajik Sentence
Grammar Core (Sentence Structures & Tenses),Ман ҳар рӯз ба донишгоҳ меравам.
Grammar Core (Sentence Structures & Tenses),Ӯ дирӯз китоб хонд.
Grammar Core (Sentence Structures & Tenses),Мо пагоҳ ба сафар меравем.
Grammar Core (Sentence Structures & Tenses),"Агар вақт доштӣ, маро хабар деҳ."
Grammar Core (Sentence Structures & Tenses),Онҳо кор намекунанд.
Grammar Core (Sentence Structures & Tenses),Китоб навишта мешавад.
Grammar Core (Sentence Structures & Tenses),"Ман мехостам, ки бо ту сӯҳбат кунам."
Grammar Core (Sentence Structures & Tenses),"Вай навишта буд, ки рафтан мехоҳад."
Grammar Core (Sentence Structures & Tenses),Шумо метавонед ба ман кумак кунед.
Grammar Core (Sentence Structures & Tenses),"Китобе, ки хонда будам, бисёр ҷолиб буд."
Conversational Data (Real-Life Dialogues & Exchanges),"Салом, аҳволат чӣ хел?"
Conversational Data (Real-Life Dialogues & Exchanges),"Ман хубам, ташаккур. Худаш чӣ хел?"
Conversational Data (Real-Life Dialogues & Exchanges),Мехоҳӣ имрӯз ба қаҳвахона равем?
Conversational Data (Real-Life Dialogues & Exchanges),"Бале, фикри хуб аст!"
Conversational Data (Real-Life Dialogues & Exchanges),Ту кадом филмро дидӣ дирӯз?
Conversational Data (Real-Life Dialogues & Exchanges),Ман филми навро дар кинотеатри 'Зебо' дидам.
Conversational Data (Real-Life Dialogues & Exchanges),Чӣ қадар чипта арзиш дошт?
Conversational Data (Real-Life Dialogues & Exchanges),Ҳудуди сӣ сомонӣ. Арзон буд.
Conversational Data (Real-Life Dialogues & Exchanges),Соати чанд вохӯрем?
Conversational Data (Real-Life Dialogues & Exchanges),Соати ҳафту ним дар назди қаҳвахона мебинем.
Code-Switching & Multilingualism,Ман today ба бозор рафтам.
Code-Switching & Multilingualism,Tomorrow мо ба Душанбе меравем.
Code-Switching & Multilingualism,Ӯ гуфт: 'I’ll call you ба наздикӣ.'
Code-Switching & Multilingualism,Шумо ready ҳастед барои имтиҳон?
Code-Switching & Multilingualism,Let's meet at соати панҷ.
Code-Switching & Multilingualism,Ман email-и ӯро надорам.
Code-Switching & Multilingualism,You can text me баъдтар.
Code-Switching & Multilingualism,Ҳар рӯз ман дар YouTube videos мебинам.
Code-Switching & Multilingualism,"Онҳо гуфтанд: 'Мы идем домой, лекин дертар.'"
Code-Switching & Multilingualism,"We studied together, пас мо хуб фаҳмидем."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Лутфан ҳуҷҷатро имзо намоед.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Мутобиқи банди сеюми шартнома, тарафҳо масъуланд."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Пациент бояд доруро ҳар рӯз истифода барад.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Мо ба шумо ҳисоботи молиявиро ирсол хоҳем кард.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Дар ҷаласа масъалаҳои стратегӣ баррасӣ шуданд.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Ташхиси тиббӣ нишон дод, ки ҳолати бемор мӯътадил аст."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Шумо бояд бо менеҷери мо тамос гиред.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Лутфан маълумоти заруриро ба почтаи электронӣ фиристед.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ҳисоботи техникӣ барои дақиқ кардани хатоҳо таҳия мешавад.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Мутобиқсозии барнома анҷом ёфт.
"Idioms, Proverbs & Cultural Expressions",Об аз сар гузаштааст.
"Idioms, Proverbs & Cultural Expressions","Ба саг гӯй, ки сагӣ кунад."
"Idioms, Proverbs & Cultural Expressions",Дили инсонро бо сухан гарм кардан мумкин аст.
"Idioms, Proverbs & Cultural Expressions","Ҳар кӣ тухм мекорад, мурғ намебинад."
"Idioms, Proverbs & Cultural Expressions","Аз оби равон бигзар, лекин зери он нигар."
"Idioms, Proverbs & Cultural Expressions","Аз хурдӣ омӯз, то бузургӣ ёбӣ."
"Idioms, Proverbs & Cultural Expressions","Сухани ширин, қалби хашмгинро ором мекунад."
"Idioms, Proverbs & Cultural Expressions",Гови шохзан аз гови ширдеҳ беҳтар нест.
"Idioms, Proverbs & Cultural Expressions","Бесабрӣ, оби гармро хунук намекунад."
"Idioms, Proverbs & Cultural Expressions","Ҳар кӣ бод мекорад, тӯфон дарав мекунад."
Question-Answer Pairs (FAQ & Contextual Understanding),Кай имтиҳон мешавад? — Рӯзи панҷшанбе.
Question-Answer Pairs (FAQ & Contextual Understanding),Чӣ тавр ман метавонам сабти ном шавам? — Аз тариқи сомонаи расмӣ.
Question-Answer Pairs (FAQ & Contextual Understanding),Ин китоб барои кӣ аст? — Барои донишҷӯёни синфи 10.
Question-Answer Pairs (FAQ & Contextual Understanding),Нарх чанд аст? — Бист сомонӣ.
Question-Answer Pairs (FAQ & Contextual Understanding),Чанд соат кор мекунед? — Аз соати 8 то 5.
Question-Answer Pairs (FAQ & Contextual Understanding),Меҳмонхона дар куҷо ҷойгир аст? — Дар назди боғи марказӣ.
