Category,Southern Sotho Sentence
Grammar Core (Sentence Structures & Tenses),Ke sebetsa letsatsi le letsatsi.
Grammar Core (Sentence Structures & Tenses),O ne a tsamaea sekolong ka letsatsi le leng.
Grammar Core (Sentence Structures & Tenses),Re tla etela bo-ntate mafelong a beke.
Grammar Core (Sentence Structures & Tenses),Ha a rate ho noa kofi.
Grammar Core (Sentence Structures & Tenses),Ke ne ke tla sebetsa ha ke ne ke sa kula.
Grammar Core (Sentence Structures & Tenses),Ho thibelitsoe ho kena ka tlung eo.
Grammar Core (Sentence Structures & Tenses),Ba ne ba ntse ba bapala bolo.
Grammar Core (Sentence Structures & Tenses),Le tla ithuta ho ngola ka Sesotho.
Grammar Core (Sentence Structures & Tenses),Moshemane ha a bue hantle.
Grammar Core (Sentence Structures & Tenses),Ho bohlokoa ho sebetsa ka thata.
Conversational Data (Real-Life Dialogues & Exchanges),"Lumelang, le phela joang kajeno?"
Conversational Data (Real-Life Dialogues & Exchanges),"Kea leboha, kea tsamaea."
Conversational Data (Real-Life Dialogues & Exchanges),U batla eng ho reka?
Conversational Data (Real-Life Dialogues & Exchanges),Ke kopa ho bona ngaka.
Conversational Data (Real-Life Dialogues & Exchanges),O kae ntate oa hao?
Conversational Data (Real-Life Dialogues & Exchanges),Ha re kopaneng ka hora ea borobong.
Conversational Data (Real-Life Dialogues & Exchanges),O rata lijo tse monate?
Conversational Data (Real-Life Dialogues & Exchanges),"Ee, ke rata ho ja papa le moro."
Conversational Data (Real-Life Dialogues & Exchanges),Ke tla khutla hoseng.
Conversational Data (Real-Life Dialogues & Exchanges),Ke kopa ho boloka sebaka.
Code-Switching & Multilingualism,Ke tlo town ka 3pm.
Code-Switching & Multilingualism,Re tla etsa meeting ka Monday.
Code-Switching & Multilingualism,O sebelisa app e kae ho order-a lijo?
Code-Switching & Multilingualism,"Hey, kea u sala – ke tlo shopong."
Code-Switching & Multilingualism,Re tlo discuss plan ka hosane.
Code-Switching & Multilingualism,Motho eo ke friend ea ka e kholo.
Code-Switching & Multilingualism,"Seng ke tired, ke tlo robala."
Code-Switching & Multilingualism,A re chencheng topic hle.
Code-Switching & Multilingualism,Ke kentse order ka Pick n Pay.
Code-Switching & Multilingualism,That place e smart haholo!
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Molao o hloka hore re latele melaoana ena.
