Category,Sentence
Grammar Core,He had been working late before the meeting.
Grammar Core,She will be arriving shortly.
Grammar Core,I do not like eating spinach.
Grammar Core,The project was completed on time.
Grammar Core,"If he had studied, he would have passed."
Grammar Core,We are going to the park later.
Grammar Core,The report is being written by the intern.
Grammar Core,She has never seen such a thing before.
Grammar Core,Would you mind helping me?
Grammar Core,They were laughing at the joke.
Conversational Data,"Hey, howzit? Long time no see!"
Conversational Data,Could you please pass the salt?
Conversational Data,That was a lekker braai last night!
Conversational Data,"I’m running a bit late, sorry!"
Conversational Data,What time are we meeting up?
Conversational Data,How’s your new job going?
Conversational Data,I’m keen for a road trip this weekend.
Conversational Data,"No worries, it happens!"
Conversational Data,Let’s grab a coffee sometime soon.
Conversational Data,"I really appreciate your help, thanks!"
Code-Switching & Multilingualism,"Eish, the traffic was hectic this morning."
Code-Switching & Multilingualism,"I’ll see you just now, need to finish this first."
Code-Switching & Multilingualism,"That’s a real jol, man!"
Code-Switching & Multilingualism,"The service at this place is so dodgy, hey?"
Code-Switching & Multilingualism,"She’s so clever, she’s top of the class mos."
Code-Switching & Multilingualism,I’m going to buy some biltong and then head home.
Code-Switching & Multilingualism,"Ag, shame man, that’s really unfortunate."
Code-Switching & Multilingualism,"Can you believe it, this guy just skipped the queue!"
Code-Switching & Multilingualism,"I’ll call you later, né?"
Code-Switching & Multilingualism,"Yoh, that was a crazy weekend!"
Formal & Professional Speech,Please find the attached report for your review.
Formal & Professional Speech,We appreciate your patience in this matter.
Formal & Professional Speech,Kindly let us know if you require any further assistance.
Formal & Professional Speech,The proposal has been submitted for approval.
Formal & Professional Speech,"During the meeting, we discussed strategic objectives."
Formal & Professional Speech,Your appointment is confirmed for 10 AM on Monday.
Formal & Professional Speech,We regret to inform you that your application was unsuccessful.
Formal & Professional Speech,The invoice must be settled within 30 days of receipt.
Formal & Professional Speech,Our customer service team will get back to you shortly.
Formal & Professional Speech,The legal department will review the contract.
"Idioms, Proverbs & Cultural Expressions",Don’t put all your eggs in one basket.
"Idioms, Proverbs & Cultural Expressions","When days are dark, friends are few."
"Idioms, Proverbs & Cultural Expressions","It’s not my circus, not my monkeys."
"Idioms, Proverbs & Cultural Expressions",The early bird catches the worm.
"Idioms, Proverbs & Cultural Expressions",A boer maak ’n plan (A farmer makes a plan).
"Idioms, Proverbs & Cultural Expressions",All that glitters is not gold.
"Idioms, Proverbs & Cultural Expressions",Actions speak louder than words.
"Idioms, Proverbs & Cultural Expressions",Give credit where credit is due.
"Idioms, Proverbs & Cultural Expressions",The proof is in the pudding.
"Idioms, Proverbs & Cultural Expressions",Every cloud has a silver lining.
Question-Answer Pairs,"What is the capital of South Africa? – Pretoria, Bloemfontein, and Cape Town."
Question-Answer Pairs,Who won the Rugby World Cup in 2019? – South Africa.
Question-Answer Pairs,How do you say 'hello' in isiZulu? – Sawubona.
Question-Answer Pairs,What is the national dish of South Africa? – Bobotie.
