Category,Sentence (Apurinã)
Grammar Core,Nawa katuĩ kiã.
Grammar Core,Nawa katuĩ kiãni.
Grammar Core,Nawa katuĩ kiãka.
Grammar Core,Nawa katuĩ kiãpana.
Grammar Core,Nawa katuĩ kiãni puki.
Grammar Core,Nawa katuĩ kiãka puki.
Grammar Core,Nawa katuĩ kiãpana puki.
Grammar Core,Nawa katuĩ kiãni heẽ.
Grammar Core,Nawa katuĩ kiãka heẽ.
Grammar Core,Nawa katuĩ kiãpana heẽ.
Conversational Data,Piã katuĩ kiã?
Conversational Data,Piã katuĩ kiãka.
Conversational Data,Hana piã katuĩ kiã.
Conversational Data,Piã katuĩ heẽ.
Conversational Data,Piã katuĩ kiãka puki?
Conversational Data,Piã katuĩ kiãpan?
Conversational Data,Piã katuĩ kiã heẽ.
Conversational Data,Hana piã katuĩ kiãpana.
Conversational Data,Piã katuĩ heẽ puki?
Conversational Data,Piã katuĩ kiãni hã?
Code-Switching,Nawa katuĩ kiã computer.
Code-Switching,Piã katuĩ kiã mobile phone.
Code-Switching,Hana katuĩ kiãna smartphone.
Code-Switching,Piã katuĩ kiã online meeting.
Code-Switching,Nawa katuĩ kiã kiã Portuguese.
Code-Switching,Piã katuĩ kiã transaction legal.
Code-Switching,Piã katuĩ kiã medical consultation.
Code-Switching,Nawa katuĩ kiãna kiã contract.
Code-Switching,Piã katuĩ kiã university exam.
Code-Switching,Hana piã katuĩ kiã diploma.
Formal & Professional,Piã katuĩ kiã professional report.
Formal & Professional,Piã katuĩ kiãna email formal.
Formal & Professional,Nawa katuĩ kiã legal document.
Formal & Professional,Piã katuĩ kiã business meeting.
Formal & Professional,Nawa katuĩ kiã technical manual.
Formal & Professional,Hana katuĩ kiãna financial statement.
Formal & Professional,Piã katuĩ kiã medical record.
Formal & Professional,Nawa katuĩ kiã contract negotiation.
Formal & Professional,Piã katuĩ kiã scientific research.
Formal & Professional,Nawa katuĩ kiã academic publication.
Idioms & Proverbs,Hana katuĩ kiã proverbio Apurinã.
Idioms & Proverbs,Piã katuĩ kiã metaphorical meaning.
Idioms & Proverbs,Nawa katuĩ kiã wise saying.
Idioms & Proverbs,Piã katuĩ kiã cultural idiom.
Idioms & Proverbs,Hana katuĩ kiã Apurinã kiã symbolic expression.
Idioms & Proverbs,Piã katuĩ kiã traditional story.
Idioms & Proverbs,Nawa katuĩ kiãna ancient saying.
Idioms & Proverbs,Piã katuĩ kiã legend explanation.
Idioms & Proverbs,Hana katuĩ kiã native wisdom.
Idioms & Proverbs,Piã katuĩ kiã traditional metaphor.
QA Pairs,Piã katuĩ kiãna question?
QA Pairs,Nawa katuĩ kiã factual answer.
QA Pairs,Hana katuĩ kiã explanatory answer.
QA Pairs,Piã katuĩ kiã historical question.
QA Pairs,Nawa katuĩ kiã opinion question.
QA Pairs,Piã katuĩ kiãna scientific inquiry?
QA Pairs,Nawa katuĩ kiã detailed response.
QA Pairs,Hana katuĩ kiãna philosophical debate.
QA Pairs,Piã katuĩ kiã expert answer.
QA Pairs,Nawa katuĩ kiã research-based reply.
Commands & Instructions,Piã katuĩ kiã imperative action!
Commands & Instructions,Nawa katuĩ kiãna direct command.
Commands & Instructions,Piã katuĩ kiã step-by-step.
Commands & Instructions,Nawa katuĩ kiã process instruction.
Commands & Instructions,Piã katuĩ kiãna conversational command.
Commands & Instructions,Piã katuĩ kiã safety protocol.
Commands & Instructions,Nawa katuĩ kiã emergency instruction.
Commands & Instructions,Piã katuĩ kiã travel guidance.
Commands & Instructions,Hana katuĩ kiã operation procedure.
Commands & Instructions,Piã katuĩ kiã legal directive.
NER Data,Nawa katuĩ kiã kiã famous person.
NER Data,Piã katuĩ kiãna important place.
NER Data,Hana katuĩ kiãna date historical.
NER Data,Nawa katuĩ kiã organization name.
NER Data,Piã katuĩ kiã entity identifier.
NER Data,Piã katuĩ kiã national landmark.
NER Data,Nawa katuĩ kiãna political figure.
NER Data,Piã katuĩ kiã scientific term.
NER Data,Hana katuĩ kiã economic event.
NER Data,Nawa katuĩ kiã global institution.
Sentiment Analysis,Piã katuĩ kiã positive emotion.
Sentiment Analysis,Nawa katuĩ kiã negative emotion.
Sentiment Analysis,Hana katuĩ kiã neutral sentiment.
Sentiment Analysis,Piã katuĩ kiãna personal opinion.
Sentiment Analysis,Nawa katuĩ kiãna strong emotion.
Sentiment Analysis,Piã katuĩ kiãna joyful statement.
Sentiment Analysis,Nawa katuĩ kiã angry reaction.
Sentiment Analysis,Hana katuĩ kiã empathetic response.
Sentiment Analysis,Piã katuĩ kiã sarcastic remark.
Sentiment Analysis,Nawa katuĩ kiã heartfelt confession.
Paraphrased & Augmented,Piã katuĩ kiã alternative sentence.
Paraphrased & Augmented,Nawa katuĩ kiã rephrased statement.
Paraphrased & Augmented,Hana katuĩ kiã paraphrased idea.
Paraphrased & Augmented,Piã katuĩ kiã variation sentence.
Paraphrased & Augmented,Nawa katuĩ kiã rewritten phrase.
Paraphrased & Augmented,Piã katuĩ kiã alternative expression.
Paraphrased & Augmented,Nawa katuĩ kiãna modified sentence.
Paraphrased & Augmented,Hana katuĩ kiã different wording.
Paraphrased & Augmented,Piã katuĩ kiã syntax variation.
Paraphrased & Augmented,Nawa katuĩ kiã synonymous construction.
