Category,Khmer_Sentence
Grammar Core (Sentence Structures & Tenses),ខ្ញុំបានទៅផ្សារពីម្សិលមិញ។
Grammar Core (Sentence Structures & Tenses),គាត់កំពុងសរសេរព័ត៌មាននៅក្នុងកុំព្យូទ័រ។
Grammar Core (Sentence Structures & Tenses),ពួកយើងនឹងទៅលេងសួនច្បារថ្ងៃសៅរ៍។
Grammar Core (Sentence Structures & Tenses),បើមានពេលខ្ញុំនឹងអានសៀវភៅ។
Grammar Core (Sentence Structures & Tenses),គាត់មិនបានមកសាលានៅម្សិលមិញទេ។
Grammar Core (Sentence Structures & Tenses),ការប្រកួតត្រូវបានរៀបចំដោយសិស្ស។
Grammar Core (Sentence Structures & Tenses),អ្នកគួរតែបង្រៀនសិស្សដោយសុភាពរាបសារ។
Grammar Core (Sentence Structures & Tenses),ខ្ញុំធ្លាប់បានសរសេរអត្ថបទនេះម្តងហើយ។
Grammar Core (Sentence Structures & Tenses),យើងត្រូវតែសហការគ្នាដើម្បីជោគជ័យ។
Grammar Core (Sentence Structures & Tenses),ពេលខ្ញុំទៅដល់ទៀត គាត់បានចេញទៅរួចហើយ។
Conversational Data (Real-Life Dialogues & Exchanges),សួស្តី! អ្នកសុខសប្បាយរបស់ទេ?
Conversational Data (Real-Life Dialogues & Exchanges),បាទ/ចាស ខ្ញុំសុខសប្បាយ អរគុណ។
Conversational Data (Real-Life Dialogues & Exchanges),អ្នកចង់ញ៉ាំអ្វីល្ងាចនេះ?
Conversational Data (Real-Life Dialogues & Exchanges),ខ្ញុំចង់ទៅមើលភាពយន្ដថ្មី។
Conversational Data (Real-Life Dialogues & Exchanges),តើអ្នកមានពេលទំនេរដែរឬទេថ្ងៃសៅរ៍?
Conversational Data (Real-Life Dialogues & Exchanges),សូមអភ័យទោស ខ្ញុំមិនអាចមកបានទេ។
Conversational Data (Real-Life Dialogues & Exchanges),អគុណច្រើនសម្រាប់ជំនួយរបស់អ្នក។
Conversational Data (Real-Life Dialogues & Exchanges),អត់អីទេ មិនជាសោះទេ។
Conversational Data (Real-Life Dialogues & Exchanges),ថ្ងៃនេះអាកាសធាតុស្រួលណាស់។
Conversational Data (Real-Life Dialogues & Exchanges),ពួកយើងគួរជួបគ្នម្ដងទៀតបាទ។
Code-Switching & Multilingualism,ខ្ញុំបានចូល meeting នៅ 10AM។
Code-Switching & Multilingualism,យើងត្រូវ prepare សម្រាប់ presentation។
Code-Switching & Multilingualism,បងសុីសម្លរ ហើយស្រាប់តែគាត់ call មក។
Code-Switching & Multilingualism,I think អ្នកគួរតែស្នាក់នៅផ្ទះថ្ងៃនេះ។
Code-Switching & Multilingualism,គាត់ខំstudy ខ្លាំងណាស់សម្រាប់ exam។
Code-Switching & Multilingualism,ពេលទៅហាង coffee ខ្ញុំជួបគាត់។
Code-Switching & Multilingualism,មាន discount លើស្បែកជើងថ្មីៗនេះ។
Code-Switching & Multilingualism,Let’s meet នៅសួនច្បារ។
Code-Switching & Multilingualism,ថ្ងៃអាទិត្យខ្ញុំមាន Zoom class។
Code-Switching & Multilingualism,Take care ហើយសម្រាកឲ្យល្អ។
"Formal & Professional Speech (Business, Legal, Medical, Technical)",យើងត្រូវសម្របសម្រួលផែនការរបស់ក្រុមហ៊ុន។
"Formal & Professional Speech (Business, Legal, Medical, Technical)",អ្នកជំងឺត្រូវបានផ្ញើទៅពិនិត្យបន្ថែម។
"Formal & Professional Speech (Business, Legal, Medical, Technical)",សេចក្ដីព្រាងច្បាប់នេះត្រូវបានស្នើឡើងក្នុងកិច្ចប្រជុំ។
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ការវិភាគទិន្នន័យនេះបង្ហាញពីនិន្នាការថ្មី។
"Formal & Professional Speech (Business, Legal, Medical, Technical)",សូមអញ្ជើញចូលរួមសិក្ខាសាលានៅសប្ដាហ៍ក្រោយ។
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ពិធីសម្ពោធន៍នឹងប្រារព្ធនៅថ្ងៃច័ន្ទ។
"Formal & Professional Speech (Business, Legal, Medical, Technical)",យើងត្រូវអនុវត្តគោលការណ៍សុវត្ថិភាពទាំងស្រុង។
"Formal & Professional Speech (Business, Legal, Medical, Technical)",អត្ថប្រយោជន៍នៃបច្ចេកវិទ្យាថ្មីគឺការចំណាយតិច។
"Formal & Professional Speech (Business, Legal, Medical, Technical)",តាមរយៈកិច្ចព្រមព្រៀងនេះ ពីរភាគីនឹងសហការគ្នា។
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ក្រុមវេជ្ជបណ្ឌិតនឹងពិគ្រោះជាមួយអ្នកជំងឺ។
"Idioms, Proverbs & Cultural Expressions",ចូរធ្វើអោយបានដូចបេះដូងចង់។
"Idioms, Proverbs & Cultural Expressions",កុំដាក់ទឹកចិត្តលើដើមឈើដែលស្រស់បន្តិច។
"Idioms, Proverbs & Cultural Expressions",ខ្មៅដូចខ្មៅ ស្រស់ដូចស្រស់។
"Idioms, Proverbs & Cultural Expressions",ទឹកមួយច្រក មិនអាចបោះកំប៉ុងបានទេ។
"Idioms, Proverbs & Cultural Expressions",អាចម៍អាំងក៏ខាំ ត្រីអាំងក៏ខាំ។
"Idioms, Proverbs & Cultural Expressions",ស្អប់នាំឱ្យជាប់ជំពាក់។
"Idioms, Proverbs & Cultural Expressions",ជើងមិនដល់ដើមស្រឡាយ កុំកាត់ស្លាបត្រី។
"Idioms, Proverbs & Cultural Expressions",មនុស្សមានស្នាម ព្រៃមានរុក្ខជាតិ។
"Idioms, Proverbs & Cultural Expressions",ទឹកមិនជ្រាបថ្ម មនុស្សមិនជ្រាបចិត្ត។
"Idioms, Proverbs & Cultural Expressions",នឹកស្រណោះដូចកូនកណ្តុរ។
Question-Answer Pairs (FAQ & Contextual Understanding),Q: តើអ្នកបរិច្ឆេទថ្ងៃកំណើតបានយ៉ាងដូចម្តេច? A: ខ្ញុំកើតនៅថ្ងៃទី ១៧ ខែឧសភា។
Question-Answer Pairs (FAQ & Contextual Understanding),Q: តើអ្នកធ្វើការនៅឯណា? A: ខ្ញុំធ្វើការនៅក្រុមហ៊ុនបច្ចេកវិទ្យាមួយ។
Question-Answer Pairs (FAQ & Contextual Understanding),Q: តើអ្នកចូលចិត្តអ្វី? A: ខ្ញុំចូលចិត្តអានសៀវភៅនិងជិះកង់។
Question-Answer Pairs (FAQ & Contextual Understanding),Q: តើភាសាដែលអ្នកស្គាល់មានអ្វីខ្លះ? A: ខ្ញុំស្គាល់ភាសាខ្មែរ និងអង់គ្លេស។
Question-Answer Pairs (FAQ & Contextual Understanding),Q: តើអ្នកទៅសាលាដូចម្តេច? A: ខ្ញុំជិះកង់ទៅរៀនរៀងរាល់ថ្ងៃ។
Question-Answer Pairs (FAQ & Contextual Understanding),Q: តើអ្នកមានបងប្អូនប៉ុន្មាននាក់? A: ខ្ញុំមានបងប្អូនបួននាក់។
Question-Answer Pairs (FAQ & Contextual Understanding),Q: តើអ្នករស់នៅទីក្រុងណា? A: ខ្ញុំរស់នៅភ្នំពេញ។
Question-Answer Pairs (FAQ & Contextual Understanding),Q: តើថ្ងៃនេះអាកាសធាតុដូចម្តេច? A: មានភ្លៀងបន្តិចនិងខ្យល់ត្រជាក់។
Question-Answer Pairs (FAQ & Contextual Understanding),Q: តើអ្នកញ៉ាំអាហារពេលព្រឹកហើយឬនៅ? A: ហើយ។ ខ្ញុំបានញ៉ាំបាយឆាជាមួយសាច់ជ្រូក។
Question-Answer Pairs (FAQ & Contextual Understanding),Q: តើអ្នកអាចជួយខ្ញុំបានទេ? A: បាទ/ចាស ខ្ញុំនឹងព្យាយាមជួយ។
Commands & Instructions (Imperative Sentences),សូមអានសៀវភៅនេះអោយចប់។
Commands & Instructions (Imperative Sentences),សូមចុចលើប៊ូតុងនេះដើម្បីបន្ត។
Commands & Instructions (Imperative Sentences),កុំភ្លេចយកឯកសារមកជាមួយ។
Commands & Instructions (Imperative Sentences),សូមមើលកាមេរ៉ាបន្តិច។
Commands & Instructions (Imperative Sentences),សូមបិទទូរទស្សន៍ពេលចេញពីបន្ទប់។
Commands & Instructions (Imperative Sentences),សូមចាំនៅទីនេះរហូតដល់គាត់មក។
