Category,Sentence (Mirandese)
Grammar Core (Sentence Structures & Tenses),El meu amigu ha vido ayeri.
Grammar Core (Sentence Structures & Tenses),Nos iremos a la fiesta manhan.
Grammar Core (Sentence Structures & Tenses),"Se l'avia dito, nun fereba isso."
Grammar Core (Sentence Structures & Tenses),Os livrus son leídos per los estudantes.
Grammar Core (Sentence Structures & Tenses),Eu nun crey que seia verdade.
Grammar Core (Sentence Structures & Tenses),"Si tivesses estudiado, aprobarias."
Grammar Core (Sentence Structures & Tenses),La casa fust feita per un gran arquiteto.
Grammar Core (Sentence Structures & Tenses),"Queiras ou nun, hei de contar-te la história."
Grammar Core (Sentence Structures & Tenses),"Antis d'ir antrabaiar, comí un buen desayuno."
Grammar Core (Sentence Structures & Tenses),"Se nun chovisse, iríamos al campu."
Conversational Data (Real-Life Dialogues & Exchanges),"- Ola! Cómo estás? - Estou bien, gracias! E tú?"
Conversational Data (Real-Life Dialogues & Exchanges),"- Qué queres bever? - Un cafetín, per favor."
Conversational Data (Real-Life Dialogues & Exchanges),- Qué fizeste ayeri? - Fui al mercau con la mia mãe.
Conversational Data (Real-Life Dialogues & Exchanges),"- Nun sei qué fere. - Pois, podemos ir al cine."
Conversational Data (Real-Life Dialogues & Exchanges),"- Tienes algun plan pa la fin de semana? - Sí, quero visitar la mia avó."
Conversational Data (Real-Life Dialogues & Exchanges),"- Queres ajuda? - Sí, precizo ajuda con isto."
Conversational Data (Real-Life Dialogues & Exchanges),- Qué pensas de la película? - Gostei mucho!
Conversational Data (Real-Life Dialogues & Exchanges),"- Podes-me emprestar este libro? - Claro, te-lu empresto."
Conversational Data (Real-Life Dialogues & Exchanges),"- Hás comido? - Encara nun, pero teno fame."
Conversational Data (Real-Life Dialogues & Exchanges),- Vamos de viaje? - Óptima ideia! Pa ónde?
Code-Switching & Multilingualism,"Estou a falar Mirandés, but sometimes I mix with English."
Code-Switching & Multilingualism,N'hi ha cosas que son más fáceis d'esplicar en Español.
Code-Switching & Multilingualism,Nun sei como se diz 'computer' en Mirandés.
Code-Switching & Multilingualism,My friend and I hablamos en tres línguas.
Code-Switching & Multilingualism,"Quando falo com la mia família, sometimes I use French."
Code-Switching & Multilingualism,"Nun me recordo la parola en Mirandés, but I know it in Portuguese."
Code-Switching & Multilingualism,It depends on la situação y con qui estou a falar.
Code-Switching & Multilingualism,We switch between idiomas every day.
Code-Switching & Multilingualism,"Algunas palavras son universales, like 'pizza'."
Code-Switching & Multilingualism,"Sei mais de una língua, e isso ajuda-me mucho."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Estimadu cliente, agradecemos la sua preferência."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nun he permitido divulgar informaçon confidencial.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",La empresa anunciau un nuevu programa de formación.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tienes de firmar esti documento pa confirmar l'acordu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",El pacenti deve tomar esti medicamento cada ocho oras.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",La reunión será a las diez da manhan.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Pa completar la inscripçon, envie los documentos necessários."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",El contrato indica las cláusulas legales aplicáveis.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",He necessário respeitar los procedimientos internos.
