Category,Sentence_Navajo,English_Translation
Grammar Core (Sentence Structures & Tenses),Shash dibé yázhí bilagáana hólǫ́,
Grammar Core (Sentence Structures & Tenses),Nízhonígo nidaashchʼííʼ,
Grammar Core (Sentence Structures & Tenses),Tłʼízí béésh łaʼ hááltsé,
Grammar Core (Sentence Structures & Tenses),Ákótʼéego hózhǫ́ǫ́gi nidizhchí,
Grammar Core (Sentence Structures & Tenses),Áłchíní doo bíká aníłį́į́ da,
Grammar Core (Sentence Structures & Tenses),Chʼil Łichííʼ bitʼaʼ dah naaznil,
Grammar Core (Sentence Structures & Tenses),Tʼóó ahéheeʼ níł hááłtsé,
Grammar Core (Sentence Structures & Tenses),Yiską́ągo bilagáana bichʼįʼ hólǫ́,
Grammar Core (Sentence Structures & Tenses),Chʼosh doo háída da,
Grammar Core (Sentence Structures & Tenses),Shimasání asdzání índa yáʼátʼééh,
Conversational Data (Real-Life Dialogues & Exchanges),Yá’át’ééh abiní! Hágoónee’ doo?,
Conversational Data (Real-Life Dialogues & Exchanges),Haash yinilyé?,
Conversational Data (Real-Life Dialogues & Exchanges),"Shik’is, dííjį́ nízhónígo neilit.",
Conversational Data (Real-Life Dialogues & Exchanges),Shí éí Diné bizaad yił yá’át’ééh.,
Conversational Data (Real-Life Dialogues & Exchanges),Diné bizaad shikéyah éí yá’át’ééhgo bizaad nisin.,
Conversational Data (Real-Life Dialogues & Exchanges),Nihizaad bee ánáá’ hólǫ́.,
Conversational Data (Real-Life Dialogues & Exchanges),Ha’át’íísh baa naniná?,
Conversational Data (Real-Life Dialogues & Exchanges),"Áádóó, k’ad bidii’ gólí’ níyá?",
Conversational Data (Real-Life Dialogues & Exchanges),T’áá shoodí shá’át’ééh!,
Conversational Data (Real-Life Dialogues & Exchanges),Shí naashá.,
Code-Switching & Multilingualism,"Shí ya’át’ééh, but I don't speak Navajo fluently.",
Code-Switching & Multilingualism,Báházhoona éí important nishłį́.,
Code-Switching & Multilingualism,"Shi éí hospital deya, baa ákonisinígíí.",
Code-Switching & Multilingualism,Táá ákót’éego nínił’ínígíí éí bilingual programs.,
Code-Switching & Multilingualism,Diné bizaad áłtsé bilagáana bizaad łeh yéego beehozhóóní.,
Code-Switching & Multilingualism,"Shí Diné nishłį́, but I also speak English.",
Code-Switching & Multilingualism,Bilagáana bizaad éí Navajo yáníłti’.,
Code-Switching & Multilingualism,Ákót’éego ahééhánígíí doo different da.,
Code-Switching & Multilingualism,Nihizaad baa yáníłti’ bilingual schools.,
Code-Switching & Multilingualism,Haash wolyé bilingual dictionary?,
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Diné be’azdáá’ bidziilgo bá hooghánígíí doo nidaanítááh da.,
"Formal & Professional Speech (Business, Legal, Medical, Technical)",K’ad hashk’aan bééhózinígíí federal law nishłį́.,
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Dóó nahashch’ííl bizáánígíí éí medical terminology nishłį́.,
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Át’é bee béeso bee hasht’e dóó business planning bee łahoda.,
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Bił áhályaa nizhónígíí ethics baa hashkééłti’ígíí éí law nishłį́.,
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Diné bikéyah doo business model baa haz’ánígíí yéego baa ákonisinígíí.,
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Díí COVID-19 bik’ehgo hózhó bee hólǫ́ nisinígíí yéego bee ánáhłį́.,
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Bił bééhózinígíí technology advances éí doo business góne’ da.,
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Dóó scientific research bikéé’ dine’é bik’ehgo naalyéhé nishłį́.,
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Haash yinilyé data privacy bee át’é?,
"Idioms, Proverbs & Cultural Expressions",T’áá hwó’ ajít’éego hólǫ́.,
"Idioms, Proverbs & Cultural Expressions",Ákót’é bee hólǫ́.,
"Idioms, Proverbs & Cultural Expressions",Díí bįįh na’anish yíyá bíhoo’aah.,
"Idioms, Proverbs & Cultural Expressions",Hózhǫ́ éí nitséé’ bee hólǫ́.,
"Idioms, Proverbs & Cultural Expressions",Díí asdzání yázhí naaltsoos doo t’óó baa ákonísi da.,
"Idioms, Proverbs & Cultural Expressions",Hastiin baa hózhǫ́ dóó hák’az baa ła’ hólǫ́.,
"Idioms, Proverbs & Cultural Expressions",Bíhoo’aah baa ánáhłį́ doo t’áadoo baa naniná da.,
"Idioms, Proverbs & Cultural Expressions",Ákót’é bee hózhǫ́ bąąh íílí.,
"Idioms, Proverbs & Cultural Expressions",Díí hólǫ́ náhásdzáán doo.,
"Idioms, Proverbs & Cultural Expressions",Nihizaad bee ánáhłį́ dóó díí t’óó nááná baa hólǫ́.,
Question-Answer Pairs (FAQ & Contextual Understanding),Haash yinilyé Diné bizaad bee?,
Question-Answer Pairs (FAQ & Contextual Understanding),Díí haash wolyé bee bilagáana bizaad doo Diné bizaad?,
Question-Answer Pairs (FAQ & Contextual Understanding),Shí Diné bizaad jiyá’ hólǫ́?,
Question-Answer Pairs (FAQ & Contextual Understanding),Dóó nihizaad éí shik’éí bąąh éí jodílzhaa?,
Question-Answer Pairs (FAQ & Contextual Understanding),Haash wolyé bee náásgóó Diné Bikeyah?,
Question-Answer Pairs (FAQ & Contextual Understanding),Nizhónígo Diné bizaad baa hane’?,
Question-Answer Pairs (FAQ & Contextual Understanding),Shí Diné naashá?,
Question-Answer Pairs (FAQ & Contextual Understanding),Haash wolyé Diné Bizaad Institute?,
Question-Answer Pairs (FAQ & Contextual Understanding),Díí Diné bike’ yah ałtsé doo?,
Question-Answer Pairs (FAQ & Contextual Understanding),Haash wolyé nihizaad bee hózhǫ́ bee ánáhłį́?,
Commands & Instructions (Imperative Sentences),Ádóone’é dóó nihaa hólǫ́.,
Commands & Instructions (Imperative Sentences),T’áá shoodí baa hózhǫ́ nisin.,
Commands & Instructions (Imperative Sentences),Áłchíní dóó nizhónígo baa hózhǫ́.,
Commands & Instructions (Imperative Sentences),Hágoónee’ t’áá nihizaad bee ánáhłį́!,
Commands & Instructions (Imperative Sentences),Shash doo nihił yéego baa hózhǫ́.,
Commands & Instructions (Imperative Sentences),T’óó dine’é bee hózhǫ́ nááná!,
Commands & Instructions (Imperative Sentences),Shí éí bąąh hááltsé!,
Commands & Instructions (Imperative Sentences),Ádóone’é bikáa’ joodílzhaa.,
Commands & Instructions (Imperative Sentences),Díí hááltsé áko t’áadoo baa naniná.,
Commands & Instructions (Imperative Sentences),Nihił hózhǫ́ bee hááltsé!,
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Nihizaad éí Áłtsé Hastiin dóó Diné Bizaad Institute áníłtsé.,
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Bilagáana bizaad éí July 4th bee éí Independence Day áníłtsé.,
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Navajo Nation Council éí Diné government yáníłtsé.,
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tsaile éí Diné College bikéyah áníłtsé.,
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Haash wolyé Window Rock bee?,
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tséhootsooí éí Capital of the Navajo Nation áníłtsé.,
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Nízhónígo Áltsé Hastiin éí Diné culture éí áníłtsé.,
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Shí Diné naashá dóó New Mexico bikéyah shinaashá.,
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Éí December 15th éí Navajo Nation Treaty Day áníłtsé.,
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Haash wolyé Kinłání bee?,
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nizhónígo baa hane’ nisin.,
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Shí éí dóó bilagáana bizaad yáníłti’ yéego nisin.,
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Díí éí t’óó hastiin baa na’anish jiyá’ hólǫ́.,
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Diné éí bik’ehgo hózhǫ́ baa hólǫ́.,
Sentiment Analysis Data (Emotion & Opinion-based Sentences),T’áá díí jodílzhaa shik’is baa hólǫ́.,
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Shá’át’ééhgo hózhǫ́.,
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Dóó shá’át’ééhgo náásgóó.,
Sentiment Analysis Data (Emotion & Opinion-based Sentences),T’áá háálá hastiin baa hólǫ́.,
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Shá’át’ééhgo díí nizhónígo baa ánáhłį́.,
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Díí baa hózhǫ́ bee ánáhłį́ nisin.,
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Nízhónígo nidaashchʼííʼ.,
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Shí éí bilagáana bizaad baa ákonisinígíí.,
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Díí Diné bizaad yáníłti’ bee éí nizhónígo.,
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Shá’át’ééhgo baa ánáhłį́ dóó éí bik’ehgo hózhǫ́.,
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Nihizaad bee hózhǫ́ baa éí nishłį́.,
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),T’áá hwó’ ajít’éego baa éí ánáhłį́.,
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Bíhoo’aah baa éí hashkéé’.,
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Díí asdzání baa éí shik’is yáníłti’.,
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Áádóó Diné bizaad baa nisin dóó éí hózhǫ́.,
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Shí éí dóó nihizaad baa ánáhłį́.,
